Species;Family;Order;Class;Phylum;Kingdom
Pterygoplichthys pardalis;Loricariidae;Siluriformes;Actinopterygii;Chordata;Animalia
Pterygoplichthys spp.;Loricariidae;Siluriformes;Actinopterygii;Chordata;Animalia
Puccinia psidii;Pucciniaceae;Uredinales;Teliomycetes;Basidiomycota;Fungi
Pueraria montana var. lobata;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Pycnonotus cafer;Pycnonotidae;Passeriformes;Aves;Chordata;Animalia
Pycnonotus jocosus;Pycnonotidae;Passeriformes;Aves;Chordata;Animalia
Pylodictis olivaris;Ictaluridae;Siluriformes;Actinopterygii;Chordata;Animalia
Pyrus calleryana;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Python bivittatus;Pythonidae;Squamata;Reptilia;Chordata;Animalia
Quadrastichus erythrinae;Eulophidae;Hymenoptera;Insecta;Arthropoda;Animalia
Radumeris tasmaniensis;Scoliidae;Hymenoptera;Insecta;Arthropoda;Animalia
Raffaelea lauricola;Ophiostomataceae;Ophiostomatales;Sordariomycetes;Ascomycota;Fungi
Ramphotyphlops braminus;	Typhlopidae;Squamata;Reptilia;Chordata;Animalia
Rangia cuneata;Mactridae;Veneroida;Bivalvia;Mollusca;Animalia
Rangifer tarandus;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Ranunculus ficaria;Ranunculaceae;Ranunculales;Magnoliopsida;Magnoliophyta;Plantae
Raoiella indica;Tenuipalpidae;Acariformes;Arachnida;Arthropoda;Animalia
Rapana venosa;Muricidae;Neogastropoda;Gastropoda;Mollusca;Animalia
Rattus exulans;Muridae;Rodentia;Mammalia;Chordata;Animalia
Rattus norvegicus;Muridae;Rodentia;Mammalia;Chordata;Animalia
Rattus rattus;Muridae;Rodentia;Mammalia;Chordata;Animalia
Rhamnus alaternus;Rhamnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Rhamnus cathartica;Rhamnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Rhinella marina;Bufonidae;Anura;Amphibia;Chordata;Animalia
Rhithropanopeus harrisii;Panopeidae;Decapoda;Malacostraca;Arthropoda;Animalia
Rhizophora mangle;Rhizophoraceae;Rhizophorales;Magnoliopsida;Magnoliophyta;Plantae
Rhododendron ponticum;Ericaceae;Ericales;Magnoliopsida;Magnoliophyta;Plantae
Rhodomyrtus tomentosa;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Rhus longipes;Anacardiaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Ricinus communis;Euphorbiaceae;Euphorbiales;Magnoliopsida;Magnoliophyta;Plantae
Robinia pseudoacacia;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Rosa bracteata;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rosa multiflora;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rottboellia cochinchinensis;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Rubus alceifolius;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rubus discolor;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rubus ellipticus;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rubus moluccanus;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rubus niveus;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rubus pinnatus;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Rubus rosifolius;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Ruellia brevifolia;Acanthaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Rumex acetosella;Polygonaceae;Polygonales;Magnoliopsida;Magnoliophyta;Plantae
Rumex crispus;Polygonaceae;Polygonales;Magnoliopsida;Magnoliophyta;Plantae
Rumex obtusifolius;Polygonaceae;Polygonales;Magnoliopsida;Magnoliophyta;Plantae
Rupicapra rupicapra;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Rusa unicolor;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Rutilus rutilus;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Sabella spallanzanii;Sabellidae;Canalipalpata;Polychaeta;Annelida;Animalia
Sacciolepis indica;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Sagina procumbens;Caryophyllaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Sagittaria platyphylla;Alismataceae;Alismatales;Liliopsida;Magnoliophyta;Plantae
Sagittaria sagittifolia;Alismataceae;Alismatales;Liliopsida;Magnoliophyta;Plantae
Salix babylonica;Salicaceae;Malpighiales;Magnoliopsida;Magnoliophyta;Plantae
Salix cinerea;Salicaceae;Malpighiales;Magnoliopsida;Magnoliophyta;Plantae
Salix humboldtiana;Salicaceae;Malpighiales;Magnoliopsida;Magnoliophyta;Plantae
Salmo salar;Salmonidae;Salmoniformes;Actinopterygii;Chordata;Animalia
Salmo trutta;Salmonidae;Salmoniformes;Actinopterygii;Chordata;Animalia
Salsola tragus;Chenopodiaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Salvelinus fontinalis;Salmonidae;Salmoniformes;Actinopterygii;Chordata;Animalia
Salvelinus namaycush;Salmonidae;Salmoniformes;Actinopterygii;Chordata;Animalia
Salvinia minima;Salviniaceae;Hydropteridales;Filicopsida;Pteridophyta;Plantae
Salvinia molesta;Salviniaceae;Hydropteridales;Filicopsida;Pteridophyta;Plantae
Samanea saman;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Sansevieria hyacinthoides;Liliaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Sansevieria trifasciata;Liliaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Sargassum fluitans;Sargassaceae;Fucales;Phaeophyceae;Phaeophycophyta;Plantae
Sargassum muticum;Sargassaceae;Fucales;Phaeophyceae;Phaeophycophyta;Plantae
Sarotherodon occidentalis;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Scaevola sericea;Goodeniaceae;Campanulales;Magnoliopsida;Magnoliophyta;Plantae
Scardinius erythrophthalmus;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Schefflera actinophylla;Araliaceae;Apiales;Magnoliopsida;Magnoliophyta;Plantae
Schinus terebinthifolius;Anacardiaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Schismus barbatus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Schizoporella errata;Schizoporellidae;Cheilostomata;Gymnolaemata;Ectoprocta;Animalia
Schizoporella unicornis;Schizoporellidae;Cheilostomata;Gymnolaemata;Ectoprocta;Animalia
Scinax ruber;Hylidae;Anura;Amphibia;Chordata;Animalia
Scinax x-signatus;Hylidae;Anura;Amphibia;Chordata;Animalia
Sciurus carolinensis;Sciuridae;Rodentia;Mammalia;Chordata;Animalia
Scolopendra morsitans;Scolopendridae;Scolopendromorpha;Chilopoda;Arthropoda;Animalia
Scyphophorus acupunctatus;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Sechium edule;Cucurbitaceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Senecio angulatus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Senecio inaequidens;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Senecio jacobaea;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Senecio squalidus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Senecio viscosus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Senecio vulgaris;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Senegalia catechu;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Sesbania punicea;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Setaria verticillata;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Simia apella;Cebidae;Primates;Mammalia;Chordata;Animalia
Sirex noctilio;Siricidae;Hymenoptera;Insecta;Arthropoda;Animalia
Solanum mauritianum;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Solanum seaforthianum;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Solanum sisymbriifolium;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Solanum tampicense;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Solanum torvum;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Solanum viarum;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Solenopsis geminata;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Solenopsis invicta;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Solenopsis papuana;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Solenopsis richteri;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Sonchus asper;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Sonchus oleraceus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Sorghum halepense;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Spartina alterniflora;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Spartina anglica;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Spartina densiflora;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Sparus aurata;Sparidae;Perciformes;Actinopterygii;Chordata;Animalia
Spathodea campanulata;Bignoniaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Spermacoce verticillata;Rubiaceae;Rubiales;Magnoliopsida;Magnoliophyta;Plantae
Sphaeroma quoianum (=S. quoyanum);Sphaeromatidae;Isopoda;Malacostraca;Arthropoda;Animalia
Sphagneticola trilobata;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Spiraea japonica;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Sporobolus africanus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Stellaria alsine;Caryophyllaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Stellaria media;Caryophyllaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Streptopelia decaocto;Columbidae;Columbiformes;Aves;Chordata;Animalia
Striga asiatica;Scrophulariaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Strobilanthes hamiltonianus;Acanthaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Sturnus vulgaris;Sturnidae;Passeriformes;Aves;Chordata;Animalia
Styela clava;Styelidae;Pleurogona;Ascidiacea;Chordata;Animalia
Styela plicata;Styelidae;Pleurogona;Ascidiacea;Chordata;Animalia
Suncus murinus;Soricidae;Insectivora;Mammalia;Chordata;Animalia
Sus scrofa;Suidae;Artiodactyla;Mammalia;Chordata;Animalia
Syngonium podophyllum;Araceae;Arales;Liliopsida;Magnoliophyta;Plantae
Syzygium cumini;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Syzygium jambos;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Tabebuia heterophylla;Bignoniaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Tamarix aphylla;Tamaricaceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Tamarix parviflora;Tamaricaceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Tamarix ramosissima;Tamaricaceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Tamias sibiricus;Sciuridae;Rodentia;Mammalia;Chordata;Animalia
Tapinoma melanocephalum;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Taraxacum officinale;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Technomyrmex albipes;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Tecoma capensis;Bignoniaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Tecoma stans;Bignoniaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Tenrec ecaudatus;Tenrecidae;Afrosoricida;Mammalia;Chordata;Animalia
Terminalia catappa;Combretaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Tetropium fuscum;Cerambycidae;Coleoptera;Insecta;Arthropoda;Animalia
Thevetia peruviana;Apocynaceae;Gentianales;Magnoliopsida;Magnoliophyta;Plantae
Thunbergia grandiflora;Acanthaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Tibouchina urvilleana;Melastomataceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Tilapia mariae;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Tilapia zillii;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Tinca tinca;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Tithonia diversifolia;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Tomicus piniperda;Scolytidae;Coleoptera;Insecta;Arthropoda;Animalia
Toumeyella parvicornis;Coccidae;Hemiptera;Insecta;Arthropoda;Animalia
Trachemys scripta elegans;Emydidae;Testudines;Reptilia;Chordata;Animalia
Trachycarpus fortunei;Arecaceae;Arecales;Liliopsida;Magnoliophyta;Plantae
Tradescantia fluminensis;Commelinaceae;Commelinales;Liliopsida;Magnoliophyta;Plantae
Tradescantia spathacea;Commelinaceae;Commelinales;Liliopsida;Magnoliophyta;Plantae
Trapa natans;Trapaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Trechisibus antarcticus;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia
Triadica sebifera;Euphorbiaceae;Euphorbiales;Magnoliopsida;Magnoliophyta;Plantae
Trichosurus vulpecula;Phalangeridae;Marsupialia;Mammalia;Chordata;Animalia
Tridentiger trigonocephalus;Gobiidae;Perciformes;Actinopterygii;Chordata;Animalia
Trididemnum solidum;Didemnidae;Enterogona;Ascidiacea;Chordata;Animalia
Trifolium dubium;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Trifolium repens;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Triphasia trifolia;Rutaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Troglodytes gorilla;Homonidae;Primates;Mammalia;Chordata;Animalia
Trogoderma granarium;Dermestidae;Coleoptera;Insecta;Arthropoda;Animalia
Tubastraea coccinea;Dendrophylliidae;Scleractinia;Anthozoa;Cnidaria;Animalia
Tussilago farfara;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Typha latifolia;Typhaceae;Typhales;Liliopsida;Magnoliophyta;Plantae
Ulex europaeus;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Undaria pinnatifida;Alariaceae;Laminariales;Phaeophyceae;Phaeophycophyta;Plantae
Uredo rangelii;Pucciniaceae;Uredinales;Pucciniomycetes;Basidiomycota;Fungi
Urochloa maxima;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Urochloa mutica;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Urosalpinx cinerea;Muricidae;Neogastropoda;Gastropoda;Mollusca;Animalia
Utricularia gibba;Lentibulariaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Vachellia drepanolobium;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Vallisneria nana;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Vallisneria spiralis;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Varanus indicus;Varanidae;Squamata;Reptilia;Chordata;Animalia
Varanus niloticus;Varanidae;Squamata;Reptilia;Chordata;Animalia
Varroa destructor;Varroidae;Parasitiformes;Arachnida;Arthropoda;Animalia
Verbascum thapsus;Scrophulariaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Verbena brasiliensis;Verbenaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Verbena rigida;Verbenaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Veronica serpyllifolia ssp. serpyllifolia;Plantaginaceae;Icacinales;Magnoliopsida;Magnoliophyta;Plantae
Vespa velutina nigrithorax;Vespidae;Hymenoptera;Insecta;Arthropoda;Animalia
Vespula germanica;Vespidae;Hymenoptera;Insecta;Arthropoda;Animalia
Vespula pensylvanica;Vespidae;Hymenoptera;Insecta;Arthropoda;Animalia
Vespula vulgaris;Vespidae;Hymenoptera;Insecta;Arthropoda;Animalia
Vibrio cholerae;Vibrionaceae;Vibrionales;Gammaproteobacteria;Proteobacteria;Monera
Vinca major;Apocynaceae;Gentianales;Magnoliopsida;Magnoliophyta;Plantae
Vitex rotundifolia;Verbenaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Viverricula indica;Viverridae;Carnivora;Mammalia;Chordata;Animalia
Vulpes chama;Canidae;Carnivora;Mammalia;Chordata;Animalia
Vulpes vulpes;Canidae;Carnivora;Mammalia;Chordata;Animalia
Vulpia bromoides;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Wasmannia auropunctata;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Waterhousea floribunda;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Watersipora subtorquata;Watersiporidae;Cheilostomata;Gymnolaemata;Ectoprocta;Animalia
Wisteria floribunda;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Wisteria sinensis;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Xanthium spinosum;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Xanthomonas axonopodis pv.citri;Xanthomonadaceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria;Monera
Xenopus laevis;Pipidae;Anura;Amphibia;Chordata;Animalia
Xiphophorus hellerii;Poeciliidae;Cyprinodontiformes;Actinopterygii;Chordata;Animalia
Xyleborus glabratus;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Xylella fastidiosa;Xanthomonadaceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria;Monera
Xylosandrus compactus;Scolytidae;Coleoptera;Insecta;Arthropoda;Animalia
Xylosandrus mutilatus;Scolytidae;Coleoptera;Insecta;Arthropoda;Animalia
Yersinia pestis;Enterobacteriaceae;Enterobacteriales;Gammaproteobacteria;Proteobacteria;Monera
Zantedeschia aethiopica;Araceae;Arales;Liliopsida;Magnoliophyta;Plantae
Zizania latifolia;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Ziziphus mauritiana;Rhamnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Zostera japonica;Zosteraceae;Najadales;Liliopsida;Magnoliophyta;Plantae
Zostera marina;Zosteraceae;Najadales;Liliopsida;Magnoliophyta;Plantae
Zosterops japonicus;Zosteropidae;Passeriformes;Aves;Chordata;Animalia
